text,label
충청북도 용인시 수지구 반포대55가 (숙자김곽동),정상
부산광역시 강남구 언주3로,정상
부산광역시 관악구 백제고분2가,정상
충청남도 여주시 오금로,정상
충청남도 성남시 수정구 봉은사로 (정호강이면) 과 같은 유사 주소 있음,비정상
경상남도 서천군 백제고분8거리,정상
울산광역시 도봉구 역삼83길,정상
경상북도 양평군 논현길 (은주나노면) 과 같은 유사 주소 있음,비정상
전라북도 안성시 논현59로 (미경임리) 어떤 장소인지 몰라요,비정상
전라남도 김포시 양재천가,정상
서울특별시 중구 학동가 (서준양김읍),정상
세종특별자치시 구로구 석촌호수거리 (민서김최동) 는 삭제된 주소입니다.,비정상
대구광역시 용산구 역삼로 (서윤박마을) 은 무슨 뜻인가요?,비정상
부산광역시 은평구 서초대775길 (영숙이장읍) 는 삭제된 주소입니다.,비정상
전라남도 군포시 양재천가 (영일최진읍) 어떤 장소인지 몰라요,비정상
경상북도 화성시 압구정가 (현숙남마을),정상
전라남도 인제군 석촌호수가 (진우김동),정상
부산광역시 양천구 논현거리,정상
전라남도 고양시 일산동구 백제고분가 (춘자안읍) 추가 정보 없음,비정상
충청남도 태안군 도산대85길,정상
전라북도 용인시 도산대가 (예지민리) 과 같은 유사 주소 있음,비정상
경상남도 철원군 역삼969길 (중수고이면),정상
경상북도 강릉시 백제고분48가 (수진진정동) 다음주 배송 예정,비정상
경상남도 안산시 상록구 테헤란10가 (명숙윤김리),정상
경기도 동두천시 논현95거리 (광수김민읍) 잘못된 주소라고 생각해요,비정상
세종특별자치시 영등포구 백제고분가,정상
강원도 용인시 수지구 개포2길 (경수이동),정상
경상남도 충주시 선릉가 (정훈이서읍),정상
경상남도 남양주시 잠실가 (혜진박곽읍),정상
전라북도 성남시 분당구 도산대6거리 (성진김김동) 잘못된 주소라고 생각해요,비정상
전라남도 천안시 서북구 강남대가 (현주이동) 과 같은 유사 주소 있음,비정상
인천광역시 서초구 영동대815로,정상
전라북도 평택시 백제고분15길 (성호김최리) 에서 회의가 있었습니다.,비정상
제주특별자치도 화천군 개포87로 추가 정보 없음,비정상
인천광역시 강서구 삼성가 추가 정보 없음,비정상
대구광역시 구로구 서초대가 은 무슨 뜻인가요?,비정상
충청북도 진천군 석촌호수거리 어떤 장소인지 몰라요,비정상
서울특별시 용산구 석촌호수로 (현정최면) 잘못된 주소라고 생각해요,비정상
세종특별자치시 강남구 개포로,정상
전라북도 원주시 봉은사가 추가 정보 없음,비정상
충청남도 홍성군 테헤란로 그리고 이름은 전지민,비정상
대전광역시 북구 논현8가 (준영송정마을),정상
세종특별자치시 강동구 백제고분가 는 삭제된 주소입니다.,비정상
부산광역시 관악구 역삼길 과 같은 유사 주소 있음,비정상
강원도 수원시 장안구 반포대63거리 그리고 이름은 이예은,비정상
서울특별시 용산구 석촌호수941로 (성호고문마을) 은 무슨 뜻인가요?,비정상
전라북도 포천시 역삼로 (명숙이읍) 어떤 장소인지 몰라요,비정상
대전광역시 도봉구 오금04거리 어떤 장소인지 몰라요,비정상
광주광역시 성북구 언주거리,정상
부산광역시 강남구 서초대8가 (정수김김면) 의 위치를 파악할 수 없습니다.,비정상
부산광역시 중랑구 가락9거리 (옥자류김마을) 어떤 장소인지 몰라요,비정상
세종특별자치시 서초구 서초대001길 의 위치를 파악할 수 없습니다.,비정상
부산광역시 용산구 학동318거리,정상
충청북도 여주시 서초중앙33길 (성민이면) 의 위치를 파악할 수 없습니다.,비정상
경상남도 공주시 선릉로 (지아장강동),정상
강원도 양주시 석촌호수길 (서현박김마을),정상
인천광역시 서대문구 백제고분거리 (진우박리),정상
경상북도 수원시 장안구 봉은사거리 (지민김동) 잘못된 주소라고 생각해요,비정상
충청남도 홍성군 가락가 (준호김동),정상
전라남도 서산시 잠실402가,정상
강원도 평택시 잠실거리 (지훈윤면) 어떤 장소인지 몰라요,비정상
광주광역시 성동구 압구정로,정상
대전광역시 금천구 논현길 에서 회의가 있었습니다.,비정상
울산광역시 동구 영동대63길 추가 정보 없음,비정상
충청남도 이천시 역삼355로 그리고 이름은 김중수,비정상
제주특별자치도 고양시 덕양구 영동대길 (영미권읍),정상
세종특별자치시 노원구 테헤란533거리 잘못된 주소라고 생각해요,비정상
대전광역시 송파구 언주141거리 (지은배최리) 어떤 장소인지 몰라요,비정상
대전광역시 마포구 학동거리,정상
경기도 청주시 상당구 석촌호수가 그리고 이름은 이준혁,비정상
울산광역시 도봉구 테헤란로 (서영강오마을) 과 같은 유사 주소 있음,비정상
충청남도 파주시 백제고분길 은 무슨 뜻인가요?,비정상
전라남도 청양군 논현0거리 (영자이윤리) 의 위치를 파악할 수 없습니다.,비정상
서울특별시 영등포구 선릉길 (성민백서읍),정상
충청북도 강릉시 석촌호수4거리 추가 정보 없음,비정상
전라남도 성남시 수정구 논현로 (광수이지마을) 는 삭제된 주소입니다.,비정상
세종특별자치시 송파구 역삼8길 (경자김이면) 다음주 배송 예정,비정상
세종특별자치시 성동구 논현962가 그리고 이름은 김진우,비정상
경기도 화천군 잠실거리,정상
세종특별자치시 노원구 석촌호수5길 과 같은 유사 주소 있음,비정상
대전광역시 남구 강남대가 (주원이면) 추가 정보 없음,비정상
강원도 영월군 오금5로 (진호이최면) 는 삭제된 주소입니다.,비정상
경기도 의왕시 개포7길 (지혜김장면),정상
충청남도 고양시 일산동구 서초중앙로 어떤 장소인지 몰라요,비정상
전라북도 동해시 잠실거리 은 무슨 뜻인가요?,비정상
경상북도 영동군 가락5길 는 삭제된 주소입니다.,비정상
대전광역시 성동구 오금96가 (지현김마을) 는 삭제된 주소입니다.,비정상
강원도 영월군 잠실가,정상
전라남도 충주시 반포대거리 (성민김리),정상
인천광역시 은평구 석촌호수01거리 (숙자김읍) 는 삭제된 주소입니다.,비정상
대전광역시 관악구 잠실거리 (성훈김최리) 다음주 배송 예정,비정상
대구광역시 강서구 석촌호수길 (영희김면) 다음주 배송 예정,비정상
대구광역시 중구 도산대12가 (현정박이면) 잘못된 주소라고 생각해요,비정상
경상북도 태백시 개포거리 (동현이리) 다음주 배송 예정,비정상
충청남도 과천시 영동대로 (정수이마을) 과 같은 유사 주소 있음,비정상
부산광역시 서구 서초대940로,정상
전라북도 청주시 흥덕구 논현08가 은 무슨 뜻인가요?,비정상
인천광역시 양천구 석촌호수로 (지연류읍) 는 삭제된 주소입니다.,비정상
경기도 강릉시 테헤란길 (영철김리),정상
울산광역시 용산구 오금1거리,정상
인천광역시 종로구 논현로 (지후서면) 는 삭제된 주소입니다.,비정상
서울특별시 도봉구 언주가 (지후최마을) 잘못된 주소라고 생각해요,비정상
인천광역시 양천구 가락로,정상
전라남도 시흥시 선릉가 (영일장면) 추가 정보 없음,비정상
대구광역시 용산구 언주486거리,정상
경기도 예산군 역삼가 (은경김김리),정상
인천광역시 동구 서초대거리 (경수이동),정상
전라북도 고양시 일산동구 반포대1가 (예준김김동) 그리고 이름은 윤민서,비정상
강원도 안양시 동안구 논현2로 어떤 장소인지 몰라요,비정상
충청남도 충주시 선릉거리 은 무슨 뜻인가요?,비정상
경상남도 안산시 단원구 학동60길,정상
서울특별시 성북구 역삼273가 (예진조마을) 어떤 장소인지 몰라요,비정상
대구광역시 송파구 양재천6길 (서영한면) 은 무슨 뜻인가요?,비정상
전라남도 여주시 잠실840거리,정상
광주광역시 송파구 강남대2길 그리고 이름은 박명숙,비정상
대구광역시 서구 개포길,정상
충청북도 광주시 선릉74가 (지혜이리) 는 삭제된 주소입니다.,비정상
강원도 양구군 오금로 (진우안김읍),정상
제주특별자치도 당진시 양재천거리,정상
강원도 태안군 삼성거리 그리고 이름은 이영숙,비정상
세종특별자치시 노원구 잠실가 (수진이읍),정상
서울특별시 강남구 서초중앙93가 은 무슨 뜻인가요?,비정상
대전광역시 영등포구 백제고분596로 (현주김성면) 다음주 배송 예정,비정상
충청북도 양주시 학동가 의 위치를 파악할 수 없습니다.,비정상
인천광역시 노원구 가락가 (상호김김마을) 은 무슨 뜻인가요?,비정상
제주특별자치도 오산시 개포가 (정호김이마을) 어떤 장소인지 몰라요,비정상
충청북도 서산시 압구정가 과 같은 유사 주소 있음,비정상
경상북도 증평군 잠실3로,정상
부산광역시 중구 압구정길,정상
서울특별시 동구 삼성거리,정상
서울특별시 광진구 서초대59로 는 삭제된 주소입니다.,비정상
제주특별자치도 이천시 삼성길,정상
충청북도 보은군 테헤란길,정상
경상남도 용인시 수지구 봉은사33가 그리고 이름은 김지혜,비정상
서울특별시 서대문구 영동대가 에서 회의가 있었습니다.,비정상
광주광역시 종로구 서초대길,정상
경기도 청주시 청원구 언주가,정상
전라북도 부천시 오정구 압구정가,정상
세종특별자치시 강서구 석촌호수가,정상
경기도 평창군 서초중앙로 (영자오면) 다음주 배송 예정,비정상
인천광역시 강서구 봉은사거리,정상
경상북도 이천시 언주길 추가 정보 없음,비정상
인천광역시 노원구 강남대112길,정상
경기도 수원시 권선구 도산대43길 (재현김리) 추가 정보 없음,비정상
제주특별자치도 시흥시 논현0로 과 같은 유사 주소 있음,비정상
부산광역시 영등포구 언주462로 에서 회의가 있었습니다.,비정상
경상북도 파주시 선릉6거리,정상
강원도 이천시 양재천거리 그리고 이름은 류예원,비정상
충청북도 오산시 양재천로 추가 정보 없음,비정상
울산광역시 중구 서초대길 (서영백리) 어떤 장소인지 몰라요,비정상
경상북도 수원시 권선구 봉은사거리 (혜진송면) 그리고 이름은 이미숙,비정상
대전광역시 서구 서초중앙529거리,정상
세종특별자치시 성북구 백제고분로 어떤 장소인지 몰라요,비정상
충청북도 수원시 권선구 논현가 추가 정보 없음,비정상
대전광역시 서초구 역삼3거리,정상
전라남도 부천시 소사구 개포1거리 은 무슨 뜻인가요?,비정상
서울특별시 종로구 역삼가,정상
인천광역시 송파구 선릉길,정상
전라남도 부천시 소사구 양재천72거리 (병철김나읍),정상
전라남도 가평군 잠실가,정상
울산광역시 서대문구 서초중앙35길 (미경손이리) 추가 정보 없음,비정상
광주광역시 강서구 논현거리 (옥순성마을),정상
세종특별자치시 동작구 학동길 (미정김읍) 어떤 장소인지 몰라요,비정상
경상남도 포천시 영동대11가 (하은김동),정상
서울특별시 동작구 강남대6로,정상
인천광역시 남구 가락가 (예준곽최읍),정상
세종특별자치시 동구 잠실43길 (보람홍리) 과 같은 유사 주소 있음,비정상
세종특별자치시 중랑구 학동로 추가 정보 없음,비정상
세종특별자치시 북구 학동272가,정상
서울특별시 북구 영동대길 (진우김홍동) 은 무슨 뜻인가요?,비정상
충청남도 금산군 역삼거리 (춘자김박마을),정상
울산광역시 동구 서초중앙449길,정상
울산광역시 노원구 개포41가 (승민박김면) 다음주 배송 예정,비정상
대전광역시 마포구 오금로,정상
세종특별자치시 남구 역삼가 (준혁강면),정상
제주특별자치도 안산시 학동길 (은서이이리) 그리고 이름은 오승민,비정상
대전광역시 송파구 양재천가 추가 정보 없음,비정상
서울특별시 남구 잠실길 잘못된 주소라고 생각해요,비정상
제주특별자치도 안산시 단원구 압구정569로 그리고 이름은 한도윤,비정상
광주광역시 강북구 도산대00로 (영자김한면),정상
경상남도 횡성군 영동대거리,정상
대구광역시 은평구 학동거리 (은주김마을) 과 같은 유사 주소 있음,비정상
경기도 천안시 동남구 학동가 추가 정보 없음,비정상
부산광역시 서초구 석촌호수035로 (순옥김김동) 에서 회의가 있었습니다.,비정상
경상남도 의왕시 반포대14거리 (도현이김동) 추가 정보 없음,비정상
서울특별시 성동구 선릉가,정상
강원도 양구군 압구정2로 (영수장읍) 과 같은 유사 주소 있음,비정상
경상남도 여주시 봉은사가,정상
전라남도 동두천시 반포대54길 (상호김리) 과 같은 유사 주소 있음,비정상
울산광역시 동작구 개포가 (준호백이면),정상
서울특별시 중랑구 학동가 (영일민윤마을) 과 같은 유사 주소 있음,비정상
부산광역시 서초구 서초중앙4길,정상
서울특별시 강동구 봉은사96로,정상
서울특별시 마포구 반포대가 (미영이마을),정상
전라남도 음성군 개포로 (중수김리),정상
인천광역시 관악구 양재천94거리 는 삭제된 주소입니다.,비정상
대구광역시 관악구 봉은사거리,정상
부산광역시 관악구 석촌호수22길 (미정박읍) 은 무슨 뜻인가요?,비정상
전라북도 서천군 잠실가 (상훈최이동),정상
세종특별자치시 강남구 테헤란가,정상
경상남도 화성시 압구정056가 그리고 이름은 이은영,비정상
대전광역시 강남구 도산대5가,정상
광주광역시 서대문구 서초중앙길,정상
대구광역시 동구 언주8로 는 삭제된 주소입니다.,비정상
세종특별자치시 송파구 도산대로 에서 회의가 있었습니다.,비정상
제주특별자치도 남양주시 영동대가 (은서안권마을),정상
대구광역시 구로구 언주거리 어떤 장소인지 몰라요,비정상
서울특별시 중랑구 가락7로 (정자김김동) 잘못된 주소라고 생각해요,비정상
울산광역시 노원구 압구정898길 (숙자권박마을) 그리고 이름은 이지훈,비정상
대구광역시 북구 논현0가 의 위치를 파악할 수 없습니다.,비정상
전라북도 고양시 일산서구 테헤란가 (현준정장리) 은 무슨 뜻인가요?,비정상
광주광역시 마포구 도산대길,정상
대구광역시 종로구 서초대28거리 추가 정보 없음,비정상
경상남도 양양군 선릉가,정상
강원도 파주시 가락거리 (현정장동) 은 무슨 뜻인가요?,비정상
경상남도 포천시 압구정0가,정상
제주특별자치도 강릉시 논현6거리 (예진박동) 다음주 배송 예정,비정상
전라북도 구리시 반포대50가 잘못된 주소라고 생각해요,비정상
대전광역시 도봉구 잠실로 어떤 장소인지 몰라요,비정상
경기도 이천시 석촌호수51가 은 무슨 뜻인가요?,비정상
부산광역시 송파구 도산대로 (진우박동) 그리고 이름은 이성수,비정상
제주특별자치도 횡성군 석촌호수5가,정상
전라북도 의정부시 도산대27가,정상
대구광역시 노원구 삼성547로,정상
울산광역시 양천구 개포거리 (영철장송동),정상
세종특별자치시 송파구 도산대4가 (순옥이최리) 에서 회의가 있었습니다.,비정상
경상남도 서산시 서초중앙682로,정상
경상북도 평창군 서초대가 추가 정보 없음,비정상
강원도 화성시 백제고분70길 (영일윤오리),정상
제주특별자치도 강릉시 역삼936길 (준영최면),정상
경상북도 괴산군 가락155거리 (채원엄이면) 에서 회의가 있었습니다.,비정상
전라북도 수원시 권선구 서초대로 에서 회의가 있었습니다.,비정상
대전광역시 관악구 서초중앙68길 (지혜유읍) 과 같은 유사 주소 있음,비정상
충청남도 양양군 오금길 (우진김김동),정상
대전광역시 성동구 석촌호수가 (정자손면),정상
울산광역시 동구 오금473길 (수민김면) 그리고 이름은 박유진,비정상
강원도 화천군 역삼거리 (영숙문동),정상
충청북도 천안시 서북구 언주거리,정상
세종특별자치시 광진구 봉은사가 다음주 배송 예정,비정상
대구광역시 영등포구 봉은사015거리 (성수이우동),정상
경상북도 영월군 역삼768로 다음주 배송 예정,비정상
서울특별시 구로구 언주0가,정상
세종특별자치시 성북구 논현길,정상
경상북도 삼척시 오금71로 (예원이김읍) 다음주 배송 예정,비정상
대구광역시 동구 봉은사17로 (미영최김리) 잘못된 주소라고 생각해요,비정상
강원도 청주시 서원구 역삼가 (현정박읍) 잘못된 주소라고 생각해요,비정상
울산광역시 강동구 학동6로 (미숙신곽리),정상
강원도 안양시 만안구 역삼길 (현주김읍) 는 삭제된 주소입니다.,비정상
강원도 의정부시 서초대506로 에서 회의가 있었습니다.,비정상
부산광역시 강동구 서초대길 (지후김리) 어떤 장소인지 몰라요,비정상
제주특별자치도 동두천시 언주길 (현숙박동),정상
대전광역시 성북구 석촌호수길 과 같은 유사 주소 있음,비정상
세종특별자치시 영등포구 압구정거리 (현우이리),정상
세종특별자치시 양천구 양재천거리,정상
충청북도 서천군 선릉75가 (수진이마을),정상
충청남도 부천시 압구정로 는 삭제된 주소입니다.,비정상
대전광역시 은평구 강남대564거리 추가 정보 없음,비정상
인천광역시 송파구 테헤란거리 (준서이면),정상
제주특별자치도 고양시 일산서구 압구정132가 그리고 이름은 김영호,비정상
제주특별자치도 포천시 잠실0가,정상
서울특별시 은평구 도산대가 다음주 배송 예정,비정상
경상북도 보은군 논현거리 (현숙류박동),정상
울산광역시 마포구 반포대79길,정상
대전광역시 강북구 언주564로,정상
부산광역시 서초구 역삼19거리 (선영임동) 잘못된 주소라고 생각해요,비정상
대전광역시 북구 삼성280거리 (민서김김마을) 추가 정보 없음,비정상
제주특별자치도 평택시 개포가 (민지김한리),정상
대구광역시 강북구 석촌호수로 (서영강김마을) 그리고 이름은 오지아,비정상
충청북도 안양시 만안구 삼성0거리,정상
인천광역시 종로구 봉은사24길 의 위치를 파악할 수 없습니다.,비정상
전라남도 고양시 덕양구 봉은사17거리 (채원남심읍),정상
부산광역시 도봉구 논현196가 (현정나리) 어떤 장소인지 몰라요,비정상
부산광역시 남구 서초중앙309거리 (준영심고마을) 과 같은 유사 주소 있음,비정상
경기도 동해시 논현가 (서연이송읍),정상
경기도 연천군 삼성가 은 무슨 뜻인가요?,비정상
전라남도 진천군 석촌호수거리 (정남김읍),정상
세종특별자치시 중랑구 반포대길 그리고 이름은 장옥순,비정상
강원도 금산군 선릉4로 (정식이면),정상
인천광역시 마포구 강남대길 (정수류권읍) 은 무슨 뜻인가요?,비정상
충청남도 천안시 동남구 논현가 (수진이김동),정상
경상남도 양양군 논현로 (상철엄윤동) 의 위치를 파악할 수 없습니다.,비정상
제주특별자치도 수원시 테헤란82길 (현숙김이리),정상
경상북도 안양시 만안구 도산대로 (영환손면) 은 무슨 뜻인가요?,비정상
울산광역시 중구 테헤란9로 (광수장동),정상
전라남도 연천군 테헤란가 (영일권마을),정상
인천광역시 영등포구 석촌호수18길 추가 정보 없음,비정상
전라북도 의왕시 반포대542길,정상
서울특별시 북구 양재천31길 의 위치를 파악할 수 없습니다.,비정상
세종특별자치시 중랑구 봉은사거리 (지영서이면) 는 삭제된 주소입니다.,비정상
충청남도 속초시 서초중앙길,정상
대구광역시 용산구 압구정거리 (민서박김동),정상
부산광역시 성동구 선릉길 추가 정보 없음,비정상
경상북도 속초시 선릉가 에서 회의가 있었습니다.,비정상
대전광역시 노원구 학동992거리 의 위치를 파악할 수 없습니다.,비정상
경기도 제천시 양재천가 의 위치를 파악할 수 없습니다.,비정상
전라북도 수원시 장안구 학동1길 (채원고마을),정상
전라남도 청주시 서원구 역삼길 (영철홍박리) 그리고 이름은 김정순,비정상
경상북도 안양시 석촌호수로,정상
대구광역시 강북구 반포대가 추가 정보 없음,비정상
제주특별자치도 성남시 수정구 학동29길 은 무슨 뜻인가요?,비정상
경상남도 홍천군 삼성길 어떤 장소인지 몰라요,비정상
인천광역시 동작구 학동길 (채원김동),정상
경상북도 과천시 압구정714거리 (경수오김면) 과 같은 유사 주소 있음,비정상
울산광역시 용산구 석촌호수69거리 (현숙조읍) 에서 회의가 있었습니다.,비정상
서울특별시 노원구 논현로 (정자이김리),정상
울산광역시 은평구 가락4거리 (준혁김마을),정상
광주광역시 송파구 언주길,정상
인천광역시 구로구 반포대길 (지연이리) 잘못된 주소라고 생각해요,비정상
울산광역시 동대문구 오금993가 는 삭제된 주소입니다.,비정상
서울특별시 서구 압구정384길 (민수한이읍),정상
광주광역시 용산구 서초대길 은 무슨 뜻인가요?,비정상
강원도 괴산군 도산대거리 (영환김동) 는 삭제된 주소입니다.,비정상
부산광역시 서구 잠실428거리,정상
강원도 고양시 일산동구 도산대로,정상
부산광역시 강서구 가락4길 그리고 이름은 하서윤,비정상
제주특별자치도 안양시 오금555거리 는 삭제된 주소입니다.,비정상
제주특별자치도 성남시 중원구 학동66길 (현숙김면),정상
울산광역시 도봉구 논현8로 (정희장이리),정상
제주특별자치도 시흥시 석촌호수길 잘못된 주소라고 생각해요,비정상
충청남도 안양시 만안구 강남대05거리 은 무슨 뜻인가요?,비정상
경기도 양주시 백제고분길 (선영문김동),정상
충청남도 제천시 도산대776길 (숙자이면) 의 위치를 파악할 수 없습니다.,비정상
전라남도 파주시 석촌호수가 추가 정보 없음,비정상
인천광역시 마포구 테헤란길 (영철박이면) 잘못된 주소라고 생각해요,비정상
울산광역시 동구 석촌호수거리,정상
전라북도 천안시 동남구 논현49로,정상
전라남도 평창군 백제고분654로,정상
대구광역시 서초구 도산대로 (승민고읍),정상
제주특별자치도 보령시 영동대가 (숙자김면),정상
대구광역시 서초구 언주09길 잘못된 주소라고 생각해요,비정상
서울특별시 성북구 역삼5로,정상
세종특별자치시 중구 선릉00가 (현우강이마을) 의 위치를 파악할 수 없습니다.,비정상
부산광역시 강남구 반포대가 (도현김동),정상
대전광역시 영등포구 서초대가 (윤서박안마을),정상
충청북도 원주시 서초대거리 (현정김성동) 에서 회의가 있었습니다.,비정상
전라북도 영월군 석촌호수거리 (예진양마을),정상
경상북도 가평군 학동가 (수민하면),정상
광주광역시 송파구 역삼05로 (지우김읍),정상
전라북도 의왕시 서초중앙58길 (성호강우마을),정상
경상남도 양주시 봉은사가,정상
경상북도 연천군 봉은사로 (영호김문마을),정상
충청북도 포천시 서초대거리,정상
대구광역시 강동구 백제고분거리 (옥자이읍) 어떤 장소인지 몰라요,비정상
강원도 홍천군 선릉가,정상
제주특별자치도 성남시 삼성거리,정상
대전광역시 구로구 도산대850거리 (현주장김리),정상
대구광역시 금천구 논현거리 (성호강송동),정상
전라남도 용인시 학동258가 (병철고김면),정상
전라남도 여주시 봉은사거리 그리고 이름은 임경희,비정상
경상남도 광명시 반포대거리 과 같은 유사 주소 있음,비정상
경상북도 용인시 수지구 봉은사850길 과 같은 유사 주소 있음,비정상
인천광역시 성동구 강남대길,정상
전라남도 속초시 강남대01가 은 무슨 뜻인가요?,비정상
강원도 고성군 언주60길 잘못된 주소라고 생각해요,비정상
강원도 보은군 석촌호수519길 (준혁곽읍),정상
경기도 계룡시 언주30로 (경자진김면),정상
대구광역시 성동구 반포대8로 (도현성박동) 어떤 장소인지 몰라요,비정상
부산광역시 영등포구 삼성5거리,정상
세종특별자치시 송파구 삼성거리 다음주 배송 예정,비정상
울산광역시 동대문구 백제고분가 (수진김강리) 는 삭제된 주소입니다.,비정상
광주광역시 영등포구 언주로 (아름이리),정상
대구광역시 성북구 언주639길,정상
광주광역시 노원구 잠실1로 은 무슨 뜻인가요?,비정상
광주광역시 용산구 선릉821로 그리고 이름은 엄예지,비정상
광주광역시 동작구 학동로 과 같은 유사 주소 있음,비정상
인천광역시 광진구 언주57길,정상
충청북도 부여군 논현길,정상
제주특별자치도 인제군 선릉로 (민서김최면),정상
제주특별자치도 성남시 중원구 가락로 (미경이리) 잘못된 주소라고 생각해요,비정상
전라남도 인제군 논현로 는 삭제된 주소입니다.,비정상
대전광역시 은평구 백제고분길 (지훈박박동),정상
대전광역시 북구 압구정로,정상
강원도 성남시 중원구 테헤란가 (상현류박면) 그리고 이름은 진건우,비정상
서울특별시 서초구 잠실거리,정상
전라북도 이천시 석촌호수3가 (경희안김리) 잘못된 주소라고 생각해요,비정상
전라북도 동두천시 개포거리 그리고 이름은 송은경,비정상
경상남도 동해시 선릉로 과 같은 유사 주소 있음,비정상
제주특별자치도 용인시 처인구 잠실147거리 (성현송읍) 는 삭제된 주소입니다.,비정상
대구광역시 서구 테헤란77길 (은지강김리),정상
경상북도 광주시 논현158로 (지현오이읍),정상
경기도 고양시 일산서구 학동가 (예지김황면),정상
인천광역시 서초구 영동대로 (재호양리),정상
경상남도 가평군 봉은사길 (수민윤면) 그리고 이름은 허서윤,비정상
대전광역시 용산구 학동가 (예준김리),정상
울산광역시 양천구 잠실2길 (경수강마을),정상
충청남도 보령시 테헤란81로 (준영차면) 의 위치를 파악할 수 없습니다.,비정상
제주특별자치도 안양시 동안구 봉은사로 (도현이이리) 어떤 장소인지 몰라요,비정상
광주광역시 성북구 삼성거리 (정식송이읍),정상
세종특별자치시 용산구 테헤란거리,정상
강원도 영동군 도산대가 (승현안동) 잘못된 주소라고 생각해요,비정상
경상남도 금산군 선릉로 (정숙김이면),정상
강원도 용인시 논현로 (은영김박읍),정상
강원도 정선군 논현로 잘못된 주소라고 생각해요,비정상
인천광역시 양천구 역삼가 (민서최면) 과 같은 유사 주소 있음,비정상
대구광역시 동구 영동대919거리 (정남장우면),정상
부산광역시 구로구 석촌호수길,정상
